tip_hiše,lokacija,cena,površina,število_spalnic,število_kopalnic,agencija
House with terrace,Marmande (47),328900,143,4,1,By Walter &amp; De Maison
House,Castelnau-le-Lez (34),858600,131,4,1,By Espaces Atypiques Montpellier
House,Lavérune (34),738700,243,5,1,By Espaces Atypiques Montpellier
House,Pornic (44),510300,85,2,coerce,By Century 21 Agence Du Casino
House,La Roche-sur-Yon (85),474000,124,3,coerce,By Stéphane Plaza Immobilier - La Roche-sur-yon
House with pool,Sainte-Maxime (83),745200,90,3,coerce,By Janssens Immobilier Sainte-maxime
House with terrace,Le Grand-Village-Plage (17),850000,160,3,coerce,By Espaces Atypiques La Rochelle
House with terrace,Saint-Georges-d'Oléron (17),862900,132,4,coerce,By Espaces Atypiques La Rochelle
House,La Destrousse (13),642600,110,3,1,By Agence Du Sud Aubagne
House with terrace,Noizay (37),448200,179,5,1,By Nestenn Amboise
House with terrace,Wy-dit-Joli-Village (95),588600,180,4,coerce,By Espaces Atypiques Val D&#39;oise
House with pool,Pabu (22),531400,300,6,coerce,By Espaces Atypiques Côtes-d&#39;armor
House,Cestas (33),538700,145,5,coerce,By Cadre D&#39;envies
House with pool and terrace,Montainville (78),810000,221,4,1,By Espaces Atypiques Yvelines
House,Furdenheim (67),534600,135,4,1,By Christelle Clauss Immobilier Marlenheim
House,Wangenbourg-Engenthal (67),537900,286,7,1,By Christelle Clauss Immobilier Marlenheim
House,Pibrac (31),696600,163,5,coerce,By Espaces Atypiques Toulouse
House with terrace,Plouhinec (29),1024400,196,4,coerce,By Belles Demeures De Bretagne
House,Nostang (56),802900,207,6,coerce,By Belles Demeures De Bretagne
House,Nolay (21),352100,250,5,coerce,By France4u
House,Clohars-carnoet (29),593100,156,3,1,By Ag Immobilier
House with pool and terrace,Saint-Palais-sur-Mer (17),1033400,180,3,coerce,By Agence De La Poste
House with terrace,Montesson (78),1019000,179,4,1,By Magimmo
House,Puilboreau (17),737100,135,3,1,By Era Immobilier Ouest Rochelais
